,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County
0,Living Wage,$15.75 ,$31.33 ,$39.00 ,$50.56 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$17.41 ,$22.45 ,$25.69 ,Kansas,Edwards
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Edwards
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Edwards
0,Living Wage,$15.75 ,$30.08 ,$36.50 ,$46.80 ,$25.01 ,$30.51 ,$36.26 ,$38.43 ,$12.50 ,$16.79 ,$21.19 ,$23.81 ,Kansas,Elk
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Elk
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Elk
0,Living Wage,$15.88 ,$31.45 ,$39.06 ,$50.64 ,$24.73 ,$30.68 ,$36.43 ,$38.68 ,$12.36 ,$17.47 ,$22.48 ,$25.73 ,Kansas,Ellis
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Ellis
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Ellis
0,Living Wage,$15.75 ,$30.70 ,$37.73 ,$49.25 ,$24.80 ,$30.51 ,$36.26 ,$39.03 ,$12.40 ,$17.10 ,$21.81 ,$25.04 ,Kansas,Ellsworth
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Ellsworth
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Ellsworth
0,Living Wage,$16.24 ,$31.55 ,$38.80 ,$50.36 ,$25.11 ,$31.16 ,$36.91 ,$39.52 ,$12.55 ,$17.53 ,$22.34 ,$25.59 ,Kansas,Finney
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Finney
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Finney
0,Living Wage,$16.15 ,$31.17 ,$38.16 ,$49.64 ,$24.99 ,$31.04 ,$36.79 ,$39.57 ,$12.50 ,$17.33 ,$22.03 ,$25.24 ,Kansas,Ford
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Ford
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Ford
0,Living Wage,$15.85 ,$31.77 ,$39.18 ,$50.64 ,$25.12 ,$31.21 ,$36.96 ,$39.30 ,$12.56 ,$17.63 ,$22.53 ,$25.73 ,Kansas,Franklin
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Franklin
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Franklin
0,Living Wage,$16.84 ,$32.73 ,$40.35 ,$53.53 ,$25.70 ,$31.97 ,$37.72 ,$41.57 ,$12.85 ,$18.12 ,$23.12 ,$27.18 ,Kansas,Geary
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Geary
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Geary
0,Living Wage,$15.75 ,$30.83 ,$38.00 ,$49.05 ,$24.94 ,$30.51 ,$36.26 ,$38.43 ,$12.47 ,$17.16 ,$21.94 ,$24.94 ,Kansas,Gove
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Gove
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Gove
0,Living Wage,$15.75 ,$30.16 ,$36.66 ,$47.78 ,$25.25 ,$30.51 ,$36.26 ,$39.16 ,$12.62 ,$16.83 ,$21.28 ,$24.30 ,Kansas,Graham
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Graham
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Graham
0,Living Wage,$15.75 ,$30.45 ,$37.24 ,$48.23 ,$24.59 ,$30.51 ,$36.26 ,$38.74 ,$12.30 ,$16.97 ,$21.57 ,$24.53 ,Kansas,Grant
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Grant
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Grant
0,Living Wage,$15.75 ,$30.47 ,$37.28 ,$47.97 ,$24.63 ,$30.51 ,$36.26 ,$38.43 ,$12.31 ,$16.98 ,$21.58 ,$24.40 ,Kansas,Gray
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Gray
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Gray
0,Living Wage,$15.75 ,$30.79 ,$37.92 ,$49.25 ,$24.59 ,$30.51 ,$36.26 ,$38.74 ,$12.30 ,$17.14 ,$21.91 ,$25.04 ,Kansas,Greeley
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Greeley
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Greeley
0,Living Wage,$15.75 ,$30.77 ,$37.89 ,$49.49 ,$24.94 ,$30.51 ,$36.26 ,$39.04 ,$12.47 ,$17.13 ,$21.89 ,$25.16 ,Kansas,Greenwood
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Greenwood
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Greenwood
0,Living Wage,$15.75 ,$30.18 ,$36.70 ,$47.10 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$16.84 ,$21.29 ,$23.96 ,Kansas,Hamilton
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Hamilton
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Hamilton
0,Living Wage,$15.75 ,$30.66 ,$37.66 ,$48.54 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$17.08 ,$21.77 ,$24.68 ,Kansas,Harper
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Harper
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Harper
0,Living Wage,$15.91 ,$32.30 ,$39.89 ,$52.33 ,$25.47 ,$31.57 ,$37.31 ,$40.45 ,$12.74 ,$17.90 ,$22.89 ,$26.58 ,Kansas,Harvey
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Harvey
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Harvey
0,Living Wage,$15.75 ,$30.48 ,$37.31 ,$48.02 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$16.99 ,$21.60 ,$24.42 ,Kansas,Haskell
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Haskell
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Haskell
0,Living Wage,$15.75 ,$30.54 ,$37.42 ,$48.78 ,$24.59 ,$30.51 ,$36.26 ,$39.03 ,$12.30 ,$17.02 ,$21.66 ,$24.80 ,Kansas,Hodgeman
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Hodgeman
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Hodgeman
0,Living Wage,$16.23 ,$31.71 ,$39.11 ,$50.80 ,$25.08 ,$31.15 ,$36.90 ,$39.47 ,$12.54 ,$17.60 ,$22.50 ,$25.81 ,Kansas,Jackson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Jackson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Jackson
0,Living Wage,$16.23 ,$31.97 ,$39.64 ,$51.58 ,$25.08 ,$31.15 ,$36.90 ,$39.47 ,$12.54 ,$17.73 ,$22.76 ,$26.20 ,Kansas,Jefferson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Jefferson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Jefferson
0,Living Wage,$15.75 ,$30.25 ,$36.85 ,$47.74 ,$25.15 ,$30.51 ,$36.26 ,$38.84 ,$12.57 ,$16.88 ,$21.37 ,$24.28 ,Kansas,Jewell
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Jewell
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Jewell
0,Living Wage,$17.21 ,$35.27 ,$44.53 ,$58.98 ,$27.02 ,$32.86 ,$38.61 ,$42.09 ,$13.51 ,$19.38 ,$25.21 ,$29.90 ,Kansas,Johnson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Johnson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Johnson
0,Living Wage,$15.75 ,$30.37 ,$37.08 ,$47.67 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$16.93 ,$21.48 ,$24.25 ,Kansas,Kearny
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Kearny
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Kearny
0,Living Wage,$15.22 ,$30.92 ,$38.18 ,$50.37 ,$25.01 ,$30.51 ,$36.26 ,$39.48 ,$12.51 ,$17.21 ,$22.03 ,$25.60 ,Kansas,Kingman
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Kingman
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Kingman
0,Living Wage,$15.75 ,$30.77 ,$37.89 ,$49.26 ,$25.25 ,$30.51 ,$36.26 ,$38.81 ,$12.63 ,$17.13 ,$21.89 ,$25.04 ,Kansas,Kiowa
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Kiowa
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Kiowa
0,Living Wage,$15.22 ,$30.49 ,$37.32 ,$48.60 ,$24.59 ,$30.51 ,$36.26 ,$39.00 ,$12.30 ,$16.99 ,$21.60 ,$24.71 ,Kansas,Labette
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Labette
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Labette
0,Living Wage,$15.75 ,$30.66 ,$37.66 ,$48.54 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$17.08 ,$21.77 ,$24.68 ,Kansas,Lane
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Lane
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Lane
0,Living Wage,$17.21 ,$34.10 ,$42.18 ,$55.45 ,$27.02 ,$32.86 ,$38.61 ,$42.09 ,$13.51 ,$18.80 ,$24.04 ,$28.14 ,Kansas,Leavenworth
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Leavenworth
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Leavenworth
0,Living Wage,$15.75 ,$30.36 ,$37.05 ,$47.63 ,$24.79 ,$30.51 ,$36.26 ,$38.43 ,$12.39 ,$16.93 ,$21.47 ,$24.23 ,Kansas,Lincoln
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Lincoln
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Lincoln
0,Living Wage,$17.21 ,$33.06 ,$40.11 ,$52.35 ,$27.02 ,$32.86 ,$38.61 ,$42.09 ,$13.51 ,$18.28 ,$23.00 ,$26.59 ,Kansas,Linn
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Linn
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Linn
0,Living Wage,$15.75 ,$30.82 ,$37.98 ,$50.00 ,$24.59 ,$30.51 ,$36.26 ,$39.41 ,$12.30 ,$17.16 ,$21.93 ,$25.41 ,Kansas,Logan
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Logan
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Logan
0,Living Wage,$15.22 ,$31.07 ,$38.48 ,$50.51 ,$24.59 ,$30.51 ,$36.26 ,$39.17 ,$12.30 ,$17.28 ,$22.18 ,$25.67 ,Kansas,Lyon
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Lyon
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Lyon
0,Living Wage,$15.75 ,$30.87 ,$38.09 ,$49.19 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$17.18 ,$21.99 ,$25.01 ,Kansas,Marion
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Marion
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Marion
0,Living Wage,$15.75 ,$30.58 ,$37.50 ,$48.84 ,$24.59 ,$30.51 ,$36.26 ,$38.97 ,$12.30 ,$17.04 ,$21.69 ,$24.83 ,Kansas,Marshall
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Marshall
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Marshall
0,Living Wage,$15.91 ,$31.04 ,$38.21 ,$49.55 ,$24.75 ,$30.72 ,$36.47 ,$38.93 ,$12.37 ,$17.27 ,$22.05 ,$25.19 ,Kansas,McPherson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,McPherson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,McPherson
0,Living Wage,$15.75 ,$30.84 ,$38.02 ,$49.69 ,$24.67 ,$30.51 ,$36.26 ,$39.03 ,$12.34 ,$17.17 ,$21.96 ,$25.26 ,Kansas,Meade
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Meade
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Meade
0,Living Wage,$17.21 ,$33.85 ,$41.69 ,$54.72 ,$27.02 ,$32.86 ,$38.61 ,$42.09 ,$13.51 ,$18.67 ,$23.79 ,$27.77 ,Kansas,Miami
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Miami
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Miami
0,Living Wage,$15.75 ,$30.38 ,$37.10 ,$47.70 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$16.94 ,$21.49 ,$24.26 ,Kansas,Mitchell
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Mitchell
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Mitchell
0,Living Wage,$15.74 ,$30.48 ,$37.31 ,$48.52 ,$24.59 ,$30.51 ,$36.26 ,$38.94 ,$12.30 ,$16.99 ,$21.60 ,$24.67 ,Kansas,Montgomery
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Montgomery
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Montgomery
0,Living Wage,$15.75 ,$30.84 ,$38.02 ,$49.09 ,$24.59 ,$30.51 ,$36.26 ,$38.43 ,$12.30 ,$17.17 ,$21.96 ,$24.96 ,Kansas,Morris
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Morris
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Morris
0,Living Wage,$15.75 ,$31.19 ,$38.73 ,$50.78 ,$24.59 ,$30.51 ,$36.26 ,$39.07 ,$12.30 ,$17.34 ,$22.31 ,$25.80 ,Kansas,Morton
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Morton
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Morton
0,Living Wage,$15.22 ,$31.11 ,$38.57 ,$50.61 ,$24.66 ,$30.51 ,$36.26 ,$39.13 ,$12.33 ,$17.30 ,$22.23 ,$25.72 ,Kansas,Nemaha
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Nemaha
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Nemaha
0,Living Wage,$15.82 ,$29.97 ,$36.27 ,$47.12 ,$24.68 ,$30.51 ,$36.26 ,$39.09 ,$12.34 ,$16.73 ,$21.08 ,$23.97 ,Kansas,Neosho
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kansas,Neosho
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kansas,Neosho
0,Living Wage,$15.75 ,$30.94 ,$38.22 ,$50.10 ,$25.25 ,$30.51 ,$36.26 ,$39.15 ,$12.63 ,$17.22 ,$22.06 ,$25.46 ,Kansas,Ness
