,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County,2022 Population Est
3018,Living Wage,$14.68 ,$29.14 ,$37.08 ,$48.92 ,$23.34 ,$27.94 ,$33.37 ,$35.97 ,$11.67 ,$16.29 ,$21.32 ,$24.94 ,Kentucky,Clinton,9123
3019,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Clinton,9123
3020,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Clinton,9123
3021,Living Wage,$14.68 ,$28.38 ,$35.57 ,$46.80 ,$23.04 ,$27.94 ,$33.37 ,$36.13 ,$11.52 ,$15.91 ,$20.56 ,$23.88 ,Kentucky,Crittenden,8981
3022,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Crittenden,8981
3023,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Crittenden,8981
3024,Living Wage,$14.39 ,$29.14 ,$37.08 ,$48.51 ,$23.13 ,$27.94 ,$33.37 ,$35.56 ,$11.57 ,$16.29 ,$21.32 ,$24.73 ,Kentucky,Cumberland,5946
3025,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Cumberland,5946
3026,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Cumberland,5946
3027,Living Wage,$15.63 ,$30.12 ,$37.83 ,$49.74 ,$23.97 ,$29.16 ,$34.58 ,$37.49 ,$11.98 ,$16.78 ,$21.69 ,$25.35 ,Kentucky,Daviess,103222
3028,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Daviess,103222
3029,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Daviess,103222
3030,Living Wage,$16.07 ,$29.75 ,$36.94 ,$48.09 ,$24.25 ,$29.32 ,$34.74 ,$37.41 ,$12.12 ,$16.60 ,$21.25 ,$24.52 ,Kentucky,Edmonson,12269
3031,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Edmonson,12269
3032,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Edmonson,12269
3033,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.35 ,$23.04 ,$27.94 ,$33.37 ,$35.69 ,$11.52 ,$16.08 ,$20.89 ,$24.15 ,Kentucky,Elliott,7293
3034,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Elliott,7293
3035,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Elliott,7293
3036,Living Wage,$14.68 ,$29.14 ,$37.08 ,$48.51 ,$23.04 ,$27.94 ,$33.37 ,$35.56 ,$11.52 ,$16.29 ,$21.32 ,$24.73 ,Kentucky,Estill,14044
3037,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Estill,14044
3038,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Estill,14044
3039,Living Wage,$15.87 ,$31.71 ,$40.32 ,$53.83 ,$24.77 ,$29.85 ,$35.27 ,$38.88 ,$12.39 ,$17.58 ,$22.94 ,$27.40 ,Kentucky,Fayette,320347
3040,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Fayette,320347
3041,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Fayette,320347
3042,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.22 ,$23.04 ,$27.94 ,$33.37 ,$35.56 ,$11.52 ,$16.08 ,$20.89 ,$24.09 ,Kentucky,Fleming,15288
3043,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Fleming,15288
3044,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Fleming,15288
3045,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.22 ,$23.04 ,$27.94 ,$33.37 ,$35.56 ,$11.52 ,$16.08 ,$20.89 ,$24.09 ,Kentucky,Floyd,34978
3046,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Floyd,34978
3047,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Floyd,34978
3048,Living Wage,$15.10 ,$30.73 ,$39.34 ,$52.22 ,$24.20 ,$28.87 ,$34.29 ,$37.27 ,$12.10 ,$17.09 ,$22.45 ,$26.59 ,Kentucky,Franklin,51607
3049,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Franklin,51607
3050,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Franklin,51607
3051,Living Wage,$14.68 ,$28.38 ,$35.57 ,$46.44 ,$23.17 ,$27.94 ,$33.37 ,$35.76 ,$11.59 ,$15.91 ,$20.56 ,$23.70 ,Kentucky,Fulton,6382
3052,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Fulton,6382
3053,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Fulton,6382
3054,Living Wage,$15.67 ,$31.09 ,$39.03 ,$51.73 ,$24.54 ,$29.89 ,$35.31 ,$38.79 ,$12.27 ,$17.26 ,$22.29 ,$26.35 ,Kentucky,Gallatin,8763
3055,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Gallatin,8763
3056,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Gallatin,8763
3057,Living Wage,$14.96 ,$29.52 ,$37.46 ,$48.98 ,$23.45 ,$28.32 ,$33.74 ,$36.03 ,$11.72 ,$16.48 ,$21.51 ,$24.97 ,Kentucky,Garrard,17589
3058,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Garrard,17589
3059,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Garrard,17589
3060,Living Wage,$15.94 ,$30.09 ,$38.03 ,$50.82 ,$24.48 ,$28.89 ,$34.31 ,$37.87 ,$12.24 ,$16.76 ,$21.79 ,$25.89 ,Kentucky,Grant,25502
3061,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Grant,25502
3062,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Grant,25502
3063,Living Wage,$14.68 ,$28.91 ,$36.61 ,$48.36 ,$23.04 ,$27.94 ,$33.37 ,$36.11 ,$11.52 ,$16.17 ,$21.09 ,$24.66 ,Kentucky,Graves,36412
3064,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Graves,36412
3065,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Graves,36412
3066,Living Wage,$15.21 ,$28.38 ,$35.57 ,$46.92 ,$23.41 ,$27.94 ,$33.37 ,$36.24 ,$11.71 ,$15.91 ,$20.56 ,$23.94 ,Kentucky,Grayson,26631
3067,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Grayson,26631
3068,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Grayson,26631
3069,Living Wage,$14.68 ,$29.14 ,$37.08 ,$48.51 ,$23.04 ,$27.94 ,$33.37 ,$35.56 ,$11.52 ,$16.29 ,$21.32 ,$24.73 ,Kentucky,Green,11365
3070,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Green,11365
3071,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Green,11365
3072,Living Wage,$15.28 ,$29.81 ,$37.43 ,$49.39 ,$24.19 ,$28.93 ,$34.35 ,$37.40 ,$12.09 ,$16.62 ,$21.49 ,$25.17 ,Kentucky,Greenup,35403
3073,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Greenup,35403
3074,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Greenup,35403
3075,Living Wage,$15.63 ,$29.60 ,$36.79 ,$48.17 ,$23.97 ,$29.16 ,$34.58 ,$37.49 ,$11.98 ,$16.52 ,$21.17 ,$24.56 ,Kentucky,Hancock,9021
3076,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Hancock,9021
3077,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Hancock,9021
3078,Living Wage,$15.94 ,$30.32 ,$38.02 ,$50.78 ,$24.11 ,$29.35 ,$34.78 ,$38.54 ,$12.06 ,$16.88 ,$21.79 ,$25.87 ,Kentucky,Hardin,111862
3079,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Hardin,111862
3080,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Hardin,111862
3081,Living Wage,$14.39 ,$28.71 ,$36.22 ,$48.13 ,$23.39 ,$27.94 ,$33.37 ,$36.47 ,$11.69 ,$16.08 ,$20.89 ,$24.55 ,Kentucky,Harlan,25662
3082,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Harlan,25662
3083,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Harlan,25662
3084,Living Wage,$14.68 ,$29.14 ,$37.08 ,$49.03 ,$23.04 ,$27.94 ,$33.37 ,$36.09 ,$11.52 ,$16.29 ,$21.32 ,$25.00 ,Kentucky,Harrison,19103
3085,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Harrison,19103
3086,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Harrison,19103
3087,Living Wage,$14.87 ,$28.38 ,$35.57 ,$46.50 ,$23.04 ,$27.94 ,$33.37 ,$35.82 ,$11.52 ,$15.91 ,$20.56 ,$23.73 ,Kentucky,Hart,19600
3088,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Hart,19600
3089,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Hart,19600
3090,Living Wage,$15.62 ,$30.31 ,$38.02 ,$49.98 ,$24.33 ,$29.35 ,$34.77 ,$37.74 ,$12.16 ,$16.87 ,$21.79 ,$25.47 ,Kentucky,Henderson,44046
3091,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Henderson,44046
3092,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Henderson,44046
3093,Living Wage,$16.02 ,$31.10 ,$39.04 ,$51.62 ,$25.02 ,$29.91 ,$35.33 ,$38.67 ,$12.51 ,$17.27 ,$22.30 ,$26.29 ,Kentucky,Henry,15771
3094,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Henry,15771
3095,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Henry,15771
3096,Living Wage,$14.68 ,$28.38 ,$35.57 ,$46.67 ,$23.13 ,$27.94 ,$33.37 ,$35.99 ,$11.57 ,$15.91 ,$20.56 ,$23.82 ,Kentucky,Hickman,4422
3097,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Hickman,4422
3098,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Hickman,4422
3099,Living Wage,$15.05 ,$28.67 ,$35.85 ,$47.15 ,$23.26 ,$28.23 ,$33.65 ,$36.47 ,$11.63 ,$16.05 ,$20.70 ,$24.06 ,Kentucky,Hopkins,44812
3100,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Hopkins,44812
3101,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Hopkins,44812
3102,Living Wage,$14.68 ,$28.71 ,$36.22 ,$48.12 ,$23.13 ,$27.94 ,$33.37 ,$36.46 ,$11.57 ,$16.08 ,$20.89 ,$24.54 ,Kentucky,Jackson,12973
3103,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Jackson,12973
3104,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Jackson,12973
3105,Living Wage,$16.02 ,$31.77 ,$40.38 ,$53.62 ,$25.02 ,$29.91 ,$35.33 ,$38.67 ,$12.51 ,$17.61 ,$22.97 ,$27.29 ,Kentucky,Jefferson,773399
3106,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Jefferson,773399
3107,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Jefferson,773399
3108,Living Wage,$15.87 ,$31.71 ,$40.32 ,$53.83 ,$24.77 ,$29.85 ,$35.27 ,$38.88 ,$12.39 ,$17.58 ,$22.94 ,$27.40 ,Kentucky,Jessamine,54254
3109,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Jessamine,54254
3110,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Jessamine,54254
3111,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.77 ,$23.04 ,$27.94 ,$33.37 ,$36.11 ,$11.52 ,$16.08 ,$20.89 ,$24.36 ,Kentucky,Johnson,22244
3112,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Johnson,22244
3113,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Johnson,22244
3114,Living Wage,$15.67 ,$31.76 ,$40.36 ,$53.74 ,$24.54 ,$29.89 ,$35.31 ,$38.79 ,$12.27 ,$17.60 ,$22.96 ,$27.35 ,Kentucky,Kenton,170313
3115,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Kenton,170313
3116,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Kenton,170313
3117,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.77 ,$23.13 ,$27.94 ,$33.37 ,$36.11 ,$11.57 ,$16.08 ,$20.89 ,$24.36 ,Kentucky,Knott,13874
3118,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Knott,13874
3119,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Knott,13874
3120,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.99 ,$23.07 ,$27.94 ,$33.37 ,$36.33 ,$11.54 ,$16.08 ,$20.89 ,$24.48 ,Kentucky,Knox,29791
3121,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Knox,29791
3122,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Knox,29791
3123,Living Wage,$15.94 ,$29.79 ,$36.98 ,$49.21 ,$24.11 ,$29.35 ,$34.78 ,$38.54 ,$12.06 ,$16.62 ,$21.27 ,$25.09 ,Kentucky,Larue,15163
3124,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Larue,15163
3125,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Larue,15163
3126,Living Wage,$15.22 ,$28.77 ,$36.28 ,$47.65 ,$23.42 ,$28.01 ,$33.43 ,$35.99 ,$11.71 ,$16.11 ,$20.92 ,$24.30 ,Kentucky,Laurel,62885
3127,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Laurel,62885
3128,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Laurel,62885
3129,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.78 ,$23.04 ,$27.94 ,$33.37 ,$36.13 ,$11.52 ,$16.08 ,$20.89 ,$24.37 ,Kentucky,Lawrence,16109
3130,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Lawrence,16109
3131,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Lawrence,16109
3132,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.78 ,$23.16 ,$27.94 ,$33.37 ,$36.13 ,$11.58 ,$16.08 ,$20.89 ,$24.37 ,Kentucky,Lee,7261
3133,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Lee,7261
3134,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Lee,7261
3135,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.78 ,$23.13 ,$27.94 ,$33.37 ,$36.13 ,$11.57 ,$16.08 ,$20.89 ,$24.37 ,Kentucky,Leslie,10093
3136,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Leslie,10093
3137,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Leslie,10093
3138,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.33 ,$23.53 ,$27.94 ,$33.37 ,$35.67 ,$11.76 ,$16.08 ,$20.89 ,$24.14 ,Kentucky,Letcher,20893
3139,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Letcher,20893
3140,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Letcher,20893
3141,Living Wage,$14.68 ,$28.71 ,$36.22 ,$47.78 ,$23.44 ,$27.94 ,$33.37 ,$36.13 ,$11.72 ,$16.08 ,$20.89 ,$24.37 ,Kentucky,Lewis,12954
3142,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Kentucky,Lewis,12954
3143,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Kentucky,Lewis,12954
3144,Living Wage,$14.68 ,$29.14 ,$37.08 ,$48.85 ,$23.04 ,$27.94 ,$33.37 ,$35.91 ,$11.52 ,$16.29 ,$21.32 ,$24.91 ,Kentucky,Lincoln,24360
